Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Wed Aug 20 19:19:13 2025
| Host         : u20-VirtualBox running 64-bit Ubuntu 20.04 LTS
| Command      : report_utilization -hierarchical -file /home/u20/chipyard/fpga/generated-src/chipyard.fpga.arty.Arty35THarness.ServArtyConfig/obj/report/utilization.txt
| Design       : Arty35THarness
| Device       : 7a35ticsg324-1L
| Design State : Physopt postRoute
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------+--------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                        |                         Module                         | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|       fbus_coupler_from_debug_sb                        |               TLInterconnectCoupler_fbus_from_debug_sb |         59 |         59 |       0 |    0 |  133 |      0 |      0 |          0 |
|         widget                                          |                                         TLWidthWidget1 |         59 |         59 |       0 |    0 |  133 |      0 |      0 |          0 |
|           (widget)                                      |                                         TLWidthWidget1 |          7 |          7 |       0 |    0 |   69 |      0 |      0 |          0 |
|           repeated_repeater                             |                       Repeater_TLBundleD_a31d64s1k1z4u |         52 |         52 |       0 |    0 |   64 |      0 |      0 |          0 |
|       pbus                                              |                                      PeripheryBus_pbus |        773 |        525 |     248 |    0 |  331 |      0 |      0 |          0 |
|         (pbus)                                          |                                      PeripheryBus_pbus |          0 |          0 |       0 |    0 |   64 |      0 |      0 |          0 |
|         atomics                                         |                                  TLAtomicAutomata_pbus |        310 |        310 |       0 |    0 |  178 |      0 |      0 |          0 |
|         buffer                                          |                                 TLBuffer_a29d64s4k1z3u |        149 |         25 |     124 |    0 |    6 |      0 |      0 |          0 |
|           nodeIn_d_q                                    |                      Queue2_TLBundleD_a29d64s4k1z3u_51 |         61 |          9 |      52 |    0 |    3 |      0 |      0 |          0 |
|             (nodeIn_d_q)                                |                      Queue2_TLBundleD_a29d64s4k1z3u_51 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|             ram_ext                                     |                                            ram_2x79_54 |         58 |          6 |      52 |    0 |    0 |      0 |      0 |          0 |
|           nodeOut_a_q                                   |                      Queue2_TLBundleA_a29d64s4k1z3u_52 |         88 |         16 |      72 |    0 |    3 |      0 |      0 |          0 |
|             (nodeOut_a_q)                               |                      Queue2_TLBundleA_a29d64s4k1z3u_52 |          5 |          5 |       0 |    0 |    3 |      0 |      0 |          0 |
|             ram_ext                                     |                                           ram_2x115_53 |         83 |         11 |      72 |    0 |    0 |      0 |      0 |          0 |
|         buffer_1                                        |                               TLBuffer_a29d64s4k1z3u_1 |        137 |         13 |     124 |    0 |    6 |      0 |      0 |          0 |
|           nodeIn_d_q                                    |                         Queue2_TLBundleD_a29d64s4k1z3u |         57 |          5 |      52 |    0 |    3 |      0 |      0 |          0 |
|             (nodeIn_d_q)                                |                         Queue2_TLBundleD_a29d64s4k1z3u |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|             ram_ext                                     |                                               ram_2x79 |         57 |          5 |      52 |    0 |    0 |      0 |      0 |          0 |
|           nodeOut_a_q                                   |                         Queue2_TLBundleA_a29d64s4k1z3u |         80 |          8 |      72 |    0 |    3 |      0 |      0 |          0 |
|             (nodeOut_a_q)                               |                         Queue2_TLBundleA_a29d64s4k1z3u |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|             ram_ext                                     |                                              ram_2x115 |         79 |          7 |      72 |    0 |    0 |      0 |      0 |          0 |
|         coupler_to_bootaddressreg                       |           TLInterconnectCoupler_pbus_to_bootaddressreg |         54 |         54 |       0 |    0 |   29 |      0 |      0 |          0 |
|           fragmenter                                    |                               TLFragmenter_BootAddrReg |         54 |         54 |       0 |    0 |   29 |      0 |      0 |          0 |
|             (fragmenter)                                |                               TLFragmenter_BootAddrReg |          4 |          4 |       0 |    0 |    9 |      0 |      0 |          0 |
|             repeater                                    |                       Repeater_TLBundleA_a13d64s4k1z3u |         51 |         51 |       0 |    0 |   20 |      0 |      0 |          0 |
|         coupler_to_device_named_uart_0                  |      TLInterconnectCoupler_pbus_to_device_named_uart_0 |         49 |         49 |       0 |    0 |   29 |      0 |      0 |          0 |
|           fragmenter                                    |                                      TLFragmenter_UART |         49 |         49 |       0 |    0 |   29 |      0 |      0 |          0 |
|             (fragmenter)                                |                                      TLFragmenter_UART |          4 |          4 |       0 |    0 |    9 |      0 |      0 |          0 |
|             repeater                                    |                       Repeater_TLBundleA_a29d64s4k1z3u |         46 |         46 |       0 |    0 |   20 |      0 |      0 |          0 |
|         fixer                                           |                                          TLFIFOFixer_1 |         13 |         13 |       0 |    0 |   12 |      0 |      0 |          0 |
|         out_xbar                                        |                    TLXbar_pbus_out_i1_o2_a29d64s4k1z3u |         62 |         62 |       0 |    0 |    7 |      0 |      0 |          0 |
|       plic_domain                                       |                                    PLICClockSinkDomain |         30 |         30 |       0 |    0 |   48 |      0 |      0 |          0 |
|         plic                                            |                                                 TLPLIC |         30 |         30 |       0 |    0 |   48 |      0 |      0 |          0 |
|           (plic)                                        |                                                 TLPLIC |          3 |          3 |       0 |    0 |    5 |      0 |      0 |          0 |
|           gateways_gateway                              |                                           LevelGateway |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           out_back_front_q                              |                           Queue1_RegMapperInput_i23_m8 |         27 |         27 |       0 |    0 |   42 |      0 |      0 |          0 |
|       sbus                                              |                                              SystemBus |        516 |        516 |       0 |    0 |  263 |      0 |      0 |          0 |
|         coupler_from_bus_named_fbus                     |         TLInterconnectCoupler_sbus_from_bus_named_fbus |        224 |        224 |       0 |    0 |  116 |      0 |      0 |          0 |
|           widget                                        |                                         TLWidthWidget8 |        224 |        224 |       0 |    0 |  116 |      0 |      0 |          0 |
|             (widget)                                    |                                         TLWidthWidget8 |         32 |         32 |       0 |    0 |   36 |      0 |      0 |          0 |
|             repeated_repeater                           |                       Repeater_TLBundleA_a31d64s1k1z4u |        192 |        192 |       0 |    0 |   80 |      0 |      0 |          0 |
|         coupler_to_bus_named_cbus                       |           TLInterconnectCoupler_sbus_to_bus_named_cbus |         48 |         48 |       0 |    0 |   94 |      0 |      0 |          0 |
|           widget                                        |                                         TLWidthWidget4 |         48 |         48 |       0 |    0 |   94 |      0 |      0 |          0 |
|             (widget)                                    |                                         TLWidthWidget4 |          0 |          0 |       0 |    0 |   46 |      0 |      0 |          0 |
|             repeated_repeater                           |                       Repeater_TLBundleD_a29d64s3k1z4u |         48 |         48 |       0 |    0 |   48 |      0 |      0 |          0 |
|         system_bus_xbar                                 |                        TLXbar_sbus_i2_o2_a31d32s3k1z4u |        245 |        245 |       0 |    0 |   53 |      0 |      0 |          0 |
|       tile_prci_domain                                  |                                         TilePRCIDomain |       1221 |        997 |     224 |    0 |  987 |      0 |      0 |          0 |
|         (tile_prci_domain)                              |                                         TilePRCIDomain |          1 |          1 |       0 |    0 |    0 |      0 |      0 |          0 |
|         buffer                                          |                               TLBuffer_a31d32s2k1z4u_2 |         81 |          5 |      76 |    0 |    6 |      0 |      0 |          0 |
|           nodeIn_d_q                                    |                      Queue2_TLBundleD_a31d32s2k1z4u_47 |         34 |          2 |      32 |    0 |    3 |      0 |      0 |          0 |
|             (nodeIn_d_q)                                |                      Queue2_TLBundleD_a31d32s2k1z4u_47 |          2 |          2 |       0 |    0 |    3 |      0 |      0 |          0 |
|             ram_ext                                     |                                            ram_2x46_50 |         32 |          0 |      32 |    0 |    0 |      0 |      0 |          0 |
|           nodeOut_a_q                                   |                      Queue2_TLBundleA_a31d32s2k1z4u_48 |         47 |          3 |      44 |    0 |    3 |      0 |      0 |          0 |
|             (nodeOut_a_q)                               |                      Queue2_TLBundleA_a31d32s2k1z4u_48 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|             ram_ext                                     |                                            ram_2x87_49 |         44 |          0 |      44 |    0 |    0 |      0 |      0 |          0 |
|         element_reset_domain_serv_tile                  |                                               ServTile |       1139 |        991 |     148 |    0 |  981 |      0 |      0 |          0 |
|           axi42tl                                       |                                               AXI4ToTL |         68 |         68 |       0 |    0 |   62 |      0 |      0 |          0 |
|             (axi42tl)                                   |                                               AXI4ToTL |         31 |         31 |       0 |    0 |   26 |      0 |      0 |          0 |
|             nodeIn_r_deq_q                              |                                     Queue1_AXI4BundleR |         37 |         37 |       0 |    0 |   35 |      0 |      0 |          0 |
|             q_b_deq_q                                   |                                     Queue1_AXI4BundleB |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|           axi4buf                                       |                                             AXI4Buffer |        130 |         58 |      72 |    0 |   15 |      0 |      0 |          0 |
|             nodeIn_b_deq_q                              |                                     Queue2_AXI4BundleB |          7 |          7 |       0 |    0 |    3 |      0 |      0 |          0 |
|             nodeIn_r_deq_q                              |                                     Queue2_AXI4BundleR |         33 |          9 |      24 |    0 |    3 |      0 |      0 |          0 |
|               (nodeIn_r_deq_q)                          |                                     Queue2_AXI4BundleR |          4 |          4 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                            ram_2x36_46 |         29 |          5 |      24 |    0 |    0 |      0 |      0 |          0 |
|             nodeOut_ar_deq_q                            |                                    Queue2_AXI4BundleAR |         19 |          7 |      12 |    0 |    3 |      0 |      0 |          0 |
|               (nodeOut_ar_deq_q)                        |                                    Queue2_AXI4BundleAR |          6 |          6 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                            ram_2x31_45 |         13 |          1 |      12 |    0 |    0 |      0 |      0 |          0 |
|             nodeOut_aw_deq_q                            |                                    Queue2_AXI4BundleAW |         32 |         20 |      12 |    0 |    3 |      0 |      0 |          0 |
|               (nodeOut_aw_deq_q)                        |                                    Queue2_AXI4BundleAW |          6 |          6 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                               ram_2x31 |         26 |         14 |      12 |    0 |    0 |      0 |      0 |          0 |
|             nodeOut_w_deq_q                             |                                     Queue2_AXI4BundleW |         39 |         15 |      24 |    0 |    3 |      0 |      0 |          0 |
|               (nodeOut_w_deq_q)                         |                                     Queue2_AXI4BundleW |         14 |         14 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                               ram_2x36 |         25 |          1 |      24 |    0 |    0 |      0 |      0 |          0 |
|           axi4frag                                      |                                         AXI4Fragmenter |         71 |         71 |       0 |    0 |   65 |      0 |      0 |          0 |
|             (axi4frag)                                  |                                         AXI4Fragmenter |          1 |          1 |       0 |    0 |   10 |      0 |      0 |          0 |
|             deq_q                                       |                                    Queue1_AXI4BundleAR |          5 |          5 |       0 |    0 |    9 |      0 |      0 |          0 |
|             deq_q_1                                     |                                    Queue1_AXI4BundleAW |         20 |         20 |       0 |    0 |    9 |      0 |      0 |          0 |
|             in_w_deq_q                                  |                                  Queue1_AXI4BundleW_44 |         46 |         46 |       0 |    0 |   37 |      0 |      0 |          0 |
|           axi4frag_1                                    |                                       AXI4Fragmenter_1 |        168 |        168 |       0 |    0 |  167 |      0 |      0 |          0 |
|             (axi4frag_1)                                |                                       AXI4Fragmenter_1 |          0 |          0 |       0 |    0 |   64 |      0 |      0 |          0 |
|             deq_q                                       |                                  Queue1_AXI4BundleAR_1 |         62 |         62 |       0 |    0 |   33 |      0 |      0 |          0 |
|             deq_q_1                                     |                                  Queue1_AXI4BundleAW_1 |         69 |         69 |       0 |    0 |   33 |      0 |      0 |          0 |
|             in_w_deq_q                                  |                                  Queue1_AXI4BundleW_43 |         37 |         37 |       0 |    0 |   37 |      0 |      0 |          0 |
|           axi4yank                                      |                                         AXI4UserYanker |         11 |         11 |       0 |    0 |    6 |      0 |      0 |          0 |
|             Queue2_BundleMap                            |                                       Queue2_BundleMap |          8 |          8 |       0 |    0 |    3 |      0 |      0 |          0 |
|             Queue2_BundleMap_1                          |                                    Queue2_BundleMap_42 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|           axi4yank_1                                    |                                       AXI4UserYanker_1 |         26 |         26 |       0 |    0 |   14 |      0 |      0 |          0 |
|             Queue1_BundleMap                            |                                       Queue1_BundleMap |          7 |          7 |       0 |    0 |    7 |      0 |      0 |          0 |
|             Queue1_BundleMap_1                          |                                    Queue1_BundleMap_41 |         23 |         23 |       0 |    0 |    7 |      0 |      0 |          0 |
|           buffer                                        |                                 TLBuffer_a31d32s2k1z4u |         95 |         19 |      76 |    0 |    6 |      0 |      0 |          0 |
|             nodeIn_d_q                                  |                         Queue2_TLBundleD_a31d32s2k1z4u |         47 |         15 |      32 |    0 |    3 |      0 |      0 |          0 |
|               (nodeIn_d_q)                              |                         Queue2_TLBundleD_a31d32s2k1z4u |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                               ram_2x46 |         47 |         15 |      32 |    0 |    0 |      0 |      0 |          0 |
|             nodeOut_a_q                                 |                         Queue2_TLBundleA_a31d32s2k1z4u |         48 |          4 |      44 |    0 |    3 |      0 |      0 |          0 |
|               (nodeOut_a_q)                             |                         Queue2_TLBundleA_a31d32s2k1z4u |          4 |          4 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                               ram_2x87 |         44 |          0 |      44 |    0 |    0 |      0 |      0 |          0 |
|           core                                          |                                       ServCoreBlackbox |        454 |        454 |       0 |    0 |  530 |      0 |      0 |          0 |
|             ServCore_uut                                |                                               ServCore |        454 |        454 |       0 |    0 |  530 |      0 |      0 |          0 |
|               bridge                                    |                                        complete_bridge |        130 |        130 |       0 |    0 |  185 |      0 |      0 |          0 |
|               serving                                   |                                                serving |        327 |        327 |       0 |    0 |  345 |      0 |      0 |          0 |
|                 (serving)                               |                                                serving |         48 |         48 |       0 |    0 |  111 |      0 |      0 |          0 |
|                 rf_mem_if                               |                                      servile_rf_mem_if |         21 |         21 |       0 |    0 |   27 |      0 |      0 |          0 |
|                 servile                                 |                                                servile |        258 |        258 |       0 |    0 |  207 |      0 |      0 |          0 |
|                   cpu                                   |                                               serv_top |        233 |        233 |       0 |    0 |  163 |      0 |      0 |          0 |
